LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00664nas a2200229uu 4500," Wallace, Edgar,  1875-1932", Tam o' the Scoots  [electronic resource] /  Edgar Wallace," Project Gutenberg,  2008", Public domain in the USA., Text, War," World War, 1914-1918 -- Fiction",,,, Project Gutenberg  25038, http://www.gutenberg.org/ebooks/25038
00708nas a2200217uu 4500," Beauvoir, Roger de,  1806-1866", Mémoires de Mademoiselle Mars (volume I) :   (de la Comédie Française)  [electronic resource] /  Roger de Beauvoir," Project Gutenberg,  2008", Public domain in the USA., Text," Mars, Mademoiselle, 1779-1847",,,,, Project Gutenberg  25039, http://www.gutenberg.org/ebooks/25039
00897nas a2200265uu 4500," Belcourt, N. A.  (Napoléon-Antoine),  1860-1932"," Bilingualism :  Address delivered before the Quebec Canadian Club :  At Quebec, Tuesday, March 28th, 1916  [electronic resource] /  N. A. Belcourt"," Project Gutenberg,  2008", Public domain in the USA., Text, Bilingualism," Education, Bilingual -- Ontario"," Speeches, addresses, etc.", Language policy -- Ontario,, Project Gutenberg  25040, http://www.gutenberg.org/ebooks/25040
00839nas a2200229uu 4500," Burpee, Lawrence J.  (Lawrence Johnstone),  1873-1946", Humour of the North  [electronic resource] /  Lawrence J. Burpee," Project Gutenberg,  2008", Public domain in the USA., Text, Canadian wit and humor,,,,, Project Gutenberg  25041, http://www.gutenberg.org/ebooks/25041
00672nas a2200229uu 4500," Clifford, C. R.  (Chandler Robbins),  1858-1935", Color Value  [electronic resource] /  C. R. Clifford," Project Gutenberg,  2008", Public domain in the USA., Text, Interior decoration, Color,,,, Project Gutenberg  25042, http://www.gutenberg.org/ebooks/25042
00608nas a2200217uu 4500," Anthony, Wilder", Hidden Gold  [electronic resource] /  Wilder Anthony," Project Gutenberg,  2008", Public domain in the USA., Text, Western stories,,,,, Project Gutenberg  25043, http://www.gutenberg.org/ebooks/25043
00788nas a2200241uu 4500," Hague, W. Grant  (William Grant),  1868-"," The Eugenic Marriage, Volume 3 (of 4) :   A Personal Guide to the New Science of Better Living and Better Babies  [electronic resource] /  W. Grant Hague"," Project Gutenberg,  2008", Public domain in the USA., Text, Hygiene, Marriage, Eugenics,,, Project Gutenberg  25044, http://www.gutenberg.org/ebooks/25044
00700nas a2200217uu 4500," Mathews, Cornelius,  1817-1889", Chanticleer :   A Thanksgiving Story of the Peabody Family  [electronic resource] /  Cornelius Mathews," Project Gutenberg,  2008", Public domain in the USA., Text, Thanksgiving Day -- Juvenile fiction,,,,, Project Gutenberg  25045, http://www.gutenberg.org/ebooks/25045
00774nas a2200229uu 4500," Willison, Marjory MacMurchy, Lady,  -1938"," The Canadian Girl at Work :  A Book of Vocational Guidance  [electronic resource] /  Marjory MacMurchy, Lady Willison"," Project Gutenberg,  2008", Public domain in the USA., Text, Women -- Vocational guidance -- Canada, Women -- Employment -- Canada,,,, Project Gutenberg  25046, http://www.gutenberg.org/ebooks/25046
00666nas a2200217uu 4500,," Blackwood's Edinburgh Magazine - Volume 55, No. 343, May 1844  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, England -- Periodicals, Scotland -- Periodicals,,,, Project Gutenberg  25047, http://www.gutenberg.org/ebooks/25047
00668nas a2200217uu 4500," Heppe, Heinrich,  1820-1879", Soldan's Geschichte der Hexenprozesse. Zweiter Band  [electronic resource] /  Heinrich Heppe," Project Gutenberg,  2008", Public domain in the USA., Text, Witchcraft -- History,,,,, Project Gutenberg  25048, http://www.gutenberg.org/ebooks/25048
