LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00689nas a2200217uu 4500," Service, Robert W.  (Robert William),  1874-1958", Songs of a Sourdough  [electronic resource] /  Robert W. Service," Project Gutenberg,  2008", Public domain in the USA., Text, Yukon River Valley (Yukon and Alaska) -- Poetry,,,,, Project Gutenberg  25546, http://www.gutenberg.org/ebooks/25546
00614nas a2200217uu 4500," Morris, May,  1862-1938", The Sundering Flood  [electronic resource] /  May Morris," Project Gutenberg,  2008", Public domain in the USA., Text, Fantasy,,,,, Project Gutenberg  25547, http://www.gutenberg.org/ebooks/25547
00663nas a2200229uu 4500," Abbott, Jacob,  1803-1879", Rollo's Museum  [electronic resource] /  Jacob Abbott," Project Gutenberg,  2008", Public domain in the USA., Text, Natural history -- Juvenile literature,,,,, Project Gutenberg  25548, http://www.gutenberg.org/ebooks/25548
00938nas a2200229uu 4500," Stockton, Frank Richard,  1834-1902", A Chosen Few :  Short Stories  [electronic resource] /  Frank Richard Stockton," Project Gutenberg,  2008", Public domain in the USA., Text," Short stories, American",,,,, Project Gutenberg  25549, http://www.gutenberg.org/ebooks/25549
00710nas a2200241uu 4500," Norton, Andre,  1912-2005", The Defiant Agents  [electronic resource] /  Andre Norton," Project Gutenberg,  2008", Public domain in the USA., Text, Time travel -- Fiction, Space and time -- Fiction, Science fiction,,, Project Gutenberg  25550, http://www.gutenberg.org/ebooks/25550
00750nas a2200241uu 4500," Irving, Fannie Belle,  1848-", Six Girls :  A Home Story  [electronic resource] /  Fannie Belle Irving," Project Gutenberg,  2008", Public domain in the USA., Text, Family life -- Juvenile fiction, Girls -- Juvenile fiction, Sisters -- Juvenile fiction,,, Project Gutenberg  25551, http://www.gutenberg.org/ebooks/25551
00640nas a2200217uu 4500," Randell, Winifred", Milk for You and Me  [electronic resource] /  Winifred Randell," Project Gutenberg,  2008", Public domain in the USA., Text, Milk as food -- Juvenile literature,,,,, Project Gutenberg  25552, http://www.gutenberg.org/ebooks/25552
00635nas a2200217uu 4500, Unknown, My Flower-pot :   Child's Picture Book  [electronic resource] /  Unknown," Project Gutenberg,  2008", Public domain in the USA., Text, Flowers -- Juvenile poetry,,,,, Project Gutenberg  25553, http://www.gutenberg.org/ebooks/25553
00649nas a2200217uu 4500," Buysse, Cyriël,  1859-1932", Van hoog en laag :   Het eerste levensboek  [electronic resource] /  Cyriël Buysse," Project Gutenberg,  2008", Public domain in the USA., Text, Fiction,,,,, Project Gutenberg  25554, http://www.gutenberg.org/ebooks/25554
00676nas a2200217uu 4500," Harding, Emily J.,  1804-1891", Fairy Tales of the Slav Peasants and Herdsmen  [electronic resource] /  Emily J. Harding," Project Gutenberg,  2008", Public domain in the USA., Text, Fairy tales -- Slavic countries,,,,, Project Gutenberg  25555, http://www.gutenberg.org/ebooks/25555
00779nas a2200229uu 4500," Catherwood, Mary Hartwell,  1847-1902", Heroes of the Middle West :  The French  [electronic resource] /  Mary Hartwell Catherwood," Project Gutenberg,  2008", Public domain in the USA., Text, Mississippi River Valley -- Discovery and exploration, Mississippi River Valley -- History -- To 1803,,,, Project Gutenberg  25556, http://www.gutenberg.org/ebooks/25556
00671nas a2200217uu 4500," Lian, Heng,  1878-1936", ???? :   ???????  [electronic resource] /  Heng Lian," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25557, http://www.gutenberg.org/ebooks/25557
00636nas a2200229uu 4500," Lü, Kun,  1536-1618", ???  [electronic resource] /  Kun Lü," Project Gutenberg,  2008", Public domain in the USA., Text, Conduct of life,,,,, Project Gutenberg  25558, http://www.gutenberg.org/ebooks/25558
00683nas a2200229uu 4500," Lu, Xun,  1881-1936", ??????  [electronic resource] /  Xun Lu," Project Gutenberg,  2008", Public domain in the USA., Text, Chinese fiction -- History and criticism,,,,, Project Gutenberg  25559, http://www.gutenberg.org/ebooks/25559
00632nas a2200205uu 4500,," Punch, or the London Charivari, Vol. 146, June 24, 1914  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, English wit and humor -- Periodicals,,,,, Project Gutenberg  25560, http://www.gutenberg.org/ebooks/25560
00607nas a2200217uu 4500," Lü, Sheng", ?????  [electronic resource] /  Sheng Lü," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25561, http://www.gutenberg.org/ebooks/25561
00636nas a2200217uu 4500," Banks, William,  1850-1920", William Adolphus Turnpike  [electronic resource] /  William Banks," Project Gutenberg,  2008", Public domain in the USA., Text, Canada -- Fiction,,,,, Project Gutenberg  25562, http://www.gutenberg.org/ebooks/25562
00795nas a2200265uu 4500," Tuckwell, William,  1829-1919", Horace  [electronic resource] /  William Tuckwell," Project Gutenberg,  2008", Public domain in the USA., Text, Horace," Rome -- History -- Augustus, 30 B.C.-14 A.D. -- Biography", Rome -- Intellectual life," Poets, Latin -- Biography",, Project Gutenberg  25563, http://www.gutenberg.org/ebooks/25563
00725nas a2200229uu 4500," Kingsley, Charles,  1819-1875", The Water-Babies :  A Fairy Tale for a Land-Baby  [electronic resource] /  Charles Kingsley," Project Gutenberg,  2008", Public domain in the USA., Text, Fairy tales -- England, Chimney sweeps -- Juvenile fiction,,,, Project Gutenberg  25564, http://www.gutenberg.org/ebooks/25564
00699nas a2200217uu 4500," Moses, Montrose Jonas,  1878-1934", Representative Plays by American Dramatists :  1856-1911: The New York Idea  [electronic resource] /  Montrose Jonas Moses," Project Gutenberg,  2008", Public domain in the USA., Text, American drama,,,,, Project Gutenberg  25565, http://www.gutenberg.org/ebooks/25565
00796nas a2200229uu 4500,," Northern Nut Growers Association Report of the Proceedings at the Fifteenth Annual Meeting :   New York City, September 3, 4 and 5, 1924  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Nuts -- Periodicals, Northern Nut Growers Association -- Periodicals, Nut trees -- Periodicals,,, Project Gutenberg  25566, http://www.gutenberg.org/ebooks/25566
00601nas a2200217uu 4500," Cox, Irving E.", Impact  [electronic resource] /  Irving E. Cox," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction,,,,, Project Gutenberg  25567, http://www.gutenberg.org/ebooks/25567
00924nas a2200229uu 4500," Shaler, Nathaniel Southgate,  1841-1906", Domesticated Animals :   Their Relation to Man and to his Advancement in Civilization  [electronic resource] /  Nathaniel Southgate Shaler," Project Gutenberg,  2008", Public domain in the USA., Text, Domestic animals,,,,, Project Gutenberg  25568, http://www.gutenberg.org/ebooks/25568
00852nas a2200253uu 4500," Marcosson, Isaac Frederick,  1876-1961", An African Adventure  [electronic resource] /  Isaac Frederick Marcosson," Project Gutenberg,  2008", Public domain in the USA., Text, Rhodesia -- Description and travel," Smuts, Jan Christiaan, 1870-1950", Congo (Democratic Republic) -- Description and travel, South Africa -- Description and travel,, Project Gutenberg  25569, http://www.gutenberg.org/ebooks/25569
00653nas a2200217uu 4500," Caine, Hall,  Sir,  1853-1931"," The Manxman :   A Novel - 1895  [electronic resource] /  Hall, Caine"," Project Gutenberg,  2008", Public domain in the USA., Text, Isle of Man -- Fiction,,,,, Project Gutenberg  25570, http://www.gutenberg.org/ebooks/25570
00648nas a2200217uu 4500," Caine, Hall,  Sir,  1853-1931"," The Little Manx Nation - 1891  [electronic resource] /  Hall, Caine"," Project Gutenberg,  2008", Public domain in the USA., Text, Isle of Man -- History,,,,, Project Gutenberg  25571, http://www.gutenberg.org/ebooks/25571
00642nas a2200217uu 4500," Caine, Hall,  Sir,  1853-1931"," Capt'n Davy's Honeymoon  [electronic resource] /  Hall, Caine"," Project Gutenberg,  2008", Public domain in the USA., Text, Isle of Man -- Fiction,,,,, Project Gutenberg  25572, http://www.gutenberg.org/ebooks/25572
00784nas a2200229uu 4500," Caine, Hall,  Sir,  1853-1931"," The Drama Of Three Hundred and Sixty-Five Days :  Scenes In The Great War  [electronic resource] /  Hall, Caine"," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918",,,,, Project Gutenberg  25573, http://www.gutenberg.org/ebooks/25573
00670nas a2200217uu 4500," Caine, Hall,  Sir,  1853-1931"," Recollections of Dante Gabriel Rossetti  [electronic resource] /  Hall, Caine"," Project Gutenberg,  2008", Public domain in the USA., Text," Rossetti, Dante Gabriel, 1828-1882",,,,, Project Gutenberg  25574, http://www.gutenberg.org/ebooks/25574
00879nas a2200241uu 4500," Chateaubriand, François-René, vicomte de,  1768-1848"," Mémoires d'Outre-Tombe, Tome 4  [electronic resource] /  François-René, vicomte de Chateaubriand"," Project Gutenberg,  2008", Public domain in the USA., Text," Enghien, Louis-Antoine-Henri de Bourbon, duc d', 1772-1804"," France -- History -- Consulate and First Empire, 1799-1815"," Napoleon I, Emperor of the French, 1769-1821",,, Project Gutenberg  25575, http://www.gutenberg.org/ebooks/25575
00774nas a2200229uu 4500,, Le Tour du Monde; Indes Occidentales :   Journal des voyages et des voyageurs; 2. sem. 1860  [electronic resource] /  Various," Project Gutenberg,  2008", Public domain in the USA., Text, Travelers -- Periodicals, Voyages and travels -- Periodicals, Geography -- Pictorial works -- Periodicals,,, Project Gutenberg  25576, http://www.gutenberg.org/ebooks/25576
00794nas a2200253uu 4500," Optic, Oliver,  1822-1897"," All Adrift; Or, The Goldwing Club  [electronic resource] /  Oliver Optic"," Project Gutenberg,  2008", Public domain in the USA., Text, Sailing -- Juvenile fiction, Ship captains -- Juvenile fiction, Adventure stories, Conduct of life -- Juvenile fiction,, Project Gutenberg  25577, http://www.gutenberg.org/ebooks/25577
00731nas a2200229uu 4500," Porter, Eleanor H.  (Eleanor Hodgman),  1868-1920", The Sunbridge Girls at Six Star Ranch  [electronic resource] /  Eleanor H. Porter," Project Gutenberg,  2008", Public domain in the USA., Text, Ranches -- Juvenile fiction, Girls -- Juvenile fiction,,,, Project Gutenberg  25578, http://www.gutenberg.org/ebooks/25578
00769nas a2200253uu 4500," Trollope, Anthony,  1815-1882", Ralph the Heir  [electronic resource] /  Anthony Trollope," Project Gutenberg,  2008", Public domain in the USA., Text, England -- Fiction, Inheritance and succession -- Fiction, Fathers and sons -- Fiction, Domestic fiction,, Project Gutenberg  25579, http://www.gutenberg.org/ebooks/25579
00675nas a2200217uu 4500," Andriessen, Simon Jacob,  1831-1939", Andersens Sproken en vertellingen :   Morgenrood  [electronic resource] /  Simon Jacob Andriessen," Project Gutenberg,  2008", Public domain in the USA., Text, Fairy tales,,,,, Project Gutenberg  25580, http://www.gutenberg.org/ebooks/25580
01286nas a2200361uu 4500," Baum, L. Frank  (Lyman Frank),  1856-1919", Rinkitink in Oz  [electronic resource] /  L. Frank Baum," Project Gutenberg,  2008", Public domain in the USA., Text, Oz (Imaginary place) -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction," Gale, Dorothy (Fictitious character) -- Juvenile fiction", Islands -- Juvenile fiction, Fantasy, Project Gutenberg  25581, http://www.gutenberg.org/ebooks/25581
01319nas a2200313uu 4500," Beach, Seth Curtis,  1837-1932", Daughters of the Puritans :  A Group of Brief Biographies  [electronic resource] /  Seth Curtis Beach," Project Gutenberg,  2008", Public domain in the USA., Text," Fuller, Margaret, 1810-1850", Women -- New England -- Biography," Sedgwick, Catharine Maria, 1789-1867"," Dix, Dorothea Lynde, 1802-1887"," Ware, Mary L. (Mary Lovell), 1798-1849", Project Gutenberg  25582, http://www.gutenberg.org/ebooks/25582
00766nas a2200229uu 4500,," Northern Nut Growers Association Incorporated 39th Annual Report :   at Norris, Tenn. September 13-15 1948  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Nut trees -- Periodicals, Nuts -- Periodicals, Northern Nut Growers Association -- Periodicals,,, Project Gutenberg  25583, http://www.gutenberg.org/ebooks/25583
00767nas a2200241uu 4500," Le Fanu, Joseph Sheridan,  1814-1873", The Purcell Papers :   Index and Contents of the Three Volumes  [electronic resource] /  Joseph Sheridan Le Fanu," Project Gutenberg,  2008", Public domain in the USA., Text, Ireland -- Fiction, Indexes," Fantasy fiction, English",,, Project Gutenberg  25584, http://www.gutenberg.org/ebooks/25584
00924nas a2200265uu 4500," Coleridge, Samuel Taylor,  1772-1834"," Shakespeare, Ben Jonson, Beaumont and Fletcher  [electronic resource] /  Samuel Taylor Coleridge"," Project Gutenberg,  2008", Public domain in the USA., Text," Jonson, Ben, 1573?-1637"," Fletcher, John, 1579-1625"," English drama -- Early modern and Elizabethan, 1500-1600 -- History and criticism"," Beaumont, Francis, 1584-1616"," Shakespeare, William, 1564-1616", Project Gutenberg  25585, http://www.gutenberg.org/ebooks/25585
00743nas a2200241uu 4500," Cather, Willa,  1873-1947"," A Collection of Stories, Reviews and Essays  [electronic resource] /  Willa Cather"," Project Gutenberg,  2008", Public domain in the USA., Text, Essays, Short stories, United States -- Social life and customs -- Fiction,,, Project Gutenberg  25586, http://www.gutenberg.org/ebooks/25586
00691nas a2200217uu 4500," Raga, Emilio", I drammi de' campi :   Padre Don Giuseppe—La vendetta—Proprietari e fittaiuoli— Sequestro.  [electronic resource] /  Emilio Raga," Project Gutenberg,  2008", Public domain in the USA., Text, Italian fiction,,,,, Project Gutenberg  25587, http://www.gutenberg.org/ebooks/25587
00744nas a2200217uu 4500," Van Metre, Thurman William,  1884-1961", Outline of the development of the internal commerce of the United States :   1789-1900  [electronic resource] /  Thurman William Van Metre," Project Gutenberg,  2008", Public domain in the USA., Text, United States -- Commerce -- History,,,,, Project Gutenberg  25588, http://www.gutenberg.org/ebooks/25588
00691nas a2200217uu 4500," Pollock, Walter Herries,  1850-1926", He  [electronic resource] /  Walter Herries Pollock," Project Gutenberg,  2008", Public domain in the USA., Text," Haggard, H. Rider (Henry Rider), 1856-1925. She -- Parodies, imitations, etc.",,,,, Project Gutenberg  25589, http://www.gutenberg.org/ebooks/25589
00765nas a2200241uu 4500," Chamberlain, Basil Hall,  1850-1935", The Silly Jelly-Fish :   Told in English  [electronic resource] /  Basil Hall Chamberlain," Project Gutenberg,  2008", Public domain in the USA., Text, Fairy tales -- Japan,,,,, Project Gutenberg  25590, http://www.gutenberg.org/ebooks/25590
00680nas a2200217uu 4500," Seaman, Owen,  1861-1936"," Punch, or the London Charivari, Vol. 158, May 19, 1920  [electronic resource] /  Owen Seaman"," Project Gutenberg,  2008", Public domain in the USA., Text, English wit and humor -- Periodicals,,,,, Project Gutenberg  25591, http://www.gutenberg.org/ebooks/25591
00765nas a2200241uu 4500, Unknown, Life and Adventures of Mr. Pig and Miss Crane :   A Nursery Tale  [electronic resource] /  Unknown," Project Gutenberg,  2008", Public domain in the USA., Text, Animals -- Juvenile poetry, Children's poetry, Animals -- Pictorial works -- Juvenile literature,,, Project Gutenberg  25592, http://www.gutenberg.org/ebooks/25592
00657nas a2200217uu 4500," Monteiro, F. de Castro,  1819-1889", Contos escolhidos de D. Antonio de Trueba  [electronic resource] /  F. de Castro Monteiro," Project Gutenberg,  2008", Public domain in the USA., Text, Essays,,,,, Project Gutenberg  25593, http://www.gutenberg.org/ebooks/25593
00664nas a2200217uu 4500," Braga, Alberto Leal Barradas Monteiro,  1851-1911", O Engeitado  [electronic resource] /  Alberto Leal Barradas Monteiro Braga," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories,,,,, Project Gutenberg  25594, http://www.gutenberg.org/ebooks/25594
00682nas a2200229uu 4500," Curties, Henry,  1860-", A Queen's Error  [electronic resource] /  Henry Curties," Project Gutenberg,  2008", Public domain in the USA., Text, Somerset (England) -- Fiction, Mystery and detective stories,,,, Project Gutenberg  25595, http://www.gutenberg.org/ebooks/25595
00711nas a2200217uu 4500," Altsheler, Joseph A.  (Joseph Alexander),  1862-1919", The Keepers of the Trail :  A Story of the Great Woods  [electronic resource] /  Joseph A. Altsheler," Project Gutenberg,  2008", Public domain in the USA., Text, Wilderness areas -- Fiction,,,,, Project Gutenberg  25596, http://www.gutenberg.org/ebooks/25596
00796nas a2200229uu 4500,," Northern Nut Growers Association, Report of the Proceedings at the Seventh Annual Meeting :   Washington, D. C. September 8 and 9, 1916.  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Northern Nut Growers Association -- Periodicals, Nut trees -- Periodicals, Nuts -- Periodicals,,, Project Gutenberg  25597, http://www.gutenberg.org/ebooks/25597
00813nas a2200241uu 4500," Cromwell, Emma Guy,  1865-1952", Citizenship :  A Manual for Voters  [electronic resource] /  Emma Guy Cromwell," Project Gutenberg,  2008", Public domain in the USA., Text," United States -- Politics and government -- Handbooks, manuals, etc.", Women -- Suffrage -- United States, Kentucky -- Politics and government,,, Project Gutenberg  25598, http://www.gutenberg.org/ebooks/25598
00755nas a2200241uu 4500," Gurney, Eliza Paul,  1801-1881", Heart Utterances at Various Periods of a Chequered Life  [electronic resource] /  Eliza Paul Gurney," Project Gutenberg,  2008", Public domain in the USA., Text, Unpublished works, Society of Friends -- Poetry, American poetry,,, Project Gutenberg  25599, http://www.gutenberg.org/ebooks/25599
00649nas a2200229uu 4500," Sim, Robert J.,  1876-", Bird Stories  [electronic resource] /  Robert J. Sim," Project Gutenberg,  2008", Public domain in the USA., Text, Birds -- Juvenile literature,,,,, Project Gutenberg  25600, http://www.gutenberg.org/ebooks/25600
00821nas a2200253uu 4500," Hammond, William A.  (William Alexander),  1828-1900", Fasting Girls :  Their Physiology and Pathology  [electronic resource] /  William A. Hammond," Project Gutenberg,  2008", Public domain in the USA., Text, Anorexia in children," Psychology, Pathological", Medicine -- Case studies -- 1800-1900, Fasting,, Project Gutenberg  25601, http://www.gutenberg.org/ebooks/25601
00615nas a2200217uu 4500, Yinmeishanren, ?????  [electronic resource] /  Yinmeishanren," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25602, http://www.gutenberg.org/ebooks/25602
01093nas a2200265uu 4500," Sheppard, William Ludwell,  1833-1912"," Detailed Minutiae of Soldier life in the Army of Northern Virginia, 1861-1865  [electronic resource] /  William Ludwell Sheppard"," Project Gutenberg,  2008", Public domain in the USA., Text, Confederate States of America. Army of Northern Virginia -- Military life," United States -- History -- Civil War, 1861-1865 -- Regimental histories"," United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate"," McCarthy, Carlton, 1847-", Confederate States of America. Army of Northern Virginia -- Biography, Project Gutenberg  25603, http://www.gutenberg.org/ebooks/25603
00745nas a2200217uu 4500," Maxwell, William Edward,  Sir,  1846-1897"," A Manual of the Malay language :   With an Introductory Sketch of the Sanskrit Element in Malay  [electronic resource] /  William Edward, Maxwell"," Project Gutenberg,  2008", Public domain in the USA., Text, Malay language -- Grammar,,,,, Project Gutenberg  25604, http://www.gutenberg.org/ebooks/25604
00685nas a2200229uu 4500," Sanvittore, Gaetano", I misteri del processo Monti e Tognetti  [electronic resource] /  Gaetano Sanvittore," Project Gutenberg,  2008", Public domain in the USA., Text, Lawsuits -- Fiction, Vatican -- Fiction,,,, Project Gutenberg  25605, http://www.gutenberg.org/ebooks/25605
00805nas a2200241uu 4500," Pei, Songzhi,  372-451", ???  [electronic resource] /  Songzhi Pei," Project Gutenberg,  2008", Public domain in the USA., Text," China -- History -- Three kingdoms, 220-265",,,,, Project Gutenberg  25606, http://www.gutenberg.org/ebooks/25606
00642nas a2200217uu 4500," Fenn, George Manville,  1831-1909", Witness to the Deed  [electronic resource] /  George Manville Fenn," Project Gutenberg,  2008", Public domain in the USA., Text, English fiction,,,,, Project Gutenberg  25607, http://www.gutenberg.org/ebooks/25607
00683nas a2200229uu 4500," Stevenson, Robert Louis,  1850-1894", A Child's Garden of Verses  [electronic resource] /  Robert Louis Stevenson," Project Gutenberg,  2008", Public domain in the USA., Text," Children's poetry, English",,,,, Project Gutenberg  25608, http://www.gutenberg.org/ebooks/25608
00679nas a2200229uu 4500," Smith, Jessie Willcox,  1863-1935", A Child's Garden of Verses  [electronic resource] /  Jessie Willcox Smith," Project Gutenberg,  2008", Public domain in the USA., Text," Children's poetry, English",,,,, Project Gutenberg  25609, http://www.gutenberg.org/ebooks/25609
00671nas a2200229uu 4500," Robinson, Charles,  1870-1937", A Child's Garden of Verses  [electronic resource] /  Charles Robinson," Project Gutenberg,  2008", Public domain in the USA., Text," Children's poetry, English",,,,, Project Gutenberg  25610, http://www.gutenberg.org/ebooks/25610
00683nas a2200229uu 4500," Stevenson, Robert Louis,  1850-1894", A Child's Garden of Verses  [electronic resource] /  Robert Louis Stevenson," Project Gutenberg,  2008", Public domain in the USA., Text," Children's poetry, English",,,,, Project Gutenberg  25611, http://www.gutenberg.org/ebooks/25611
00667nas a2200217uu 4500," Melanchthon, Philipp,  1497-1560", The Art or Crafte of Rhetoryke  [electronic resource] /  Philipp Melanchthon," Project Gutenberg,  2008", Public domain in the USA., Text, Rhetoric -- Early works to 1800,,,,, Project Gutenberg  25612, http://www.gutenberg.org/ebooks/25612
00590nas a2200205uu 4500," Hoffmann, Franz,  1814-1882", Jäämerellä  [electronic resource] /  Franz Hoffmann," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25613, http://www.gutenberg.org/ebooks/25613
00634nas a2200217uu 4500," De Roberto, Federico,  1861-1927", Ermanno Raeli  [electronic resource] /  Federico De Roberto," Project Gutenberg,  2008", Public domain in the USA., Text, Italian fiction,,,,, Project Gutenberg  25614, http://www.gutenberg.org/ebooks/25614
00658nas a2200217uu 4500," Pons, A. J.,  1829-1884", Sainte Beuve et ses inconnues  [electronic resource] /  A. J. Pons," Project Gutenberg,  2008", Public domain in the USA., Text," Sainte-Beuve, Charles Augustin, 1804-1869",,,,, Project Gutenberg  25615, http://www.gutenberg.org/ebooks/25615
00884nas a2200217uu 4500," Fleury de Chaboulon, Pierre Alexandre Édouard, baron,  1779-1835"," Les Cent Jours (1/2) :   Mémoires pour servir à l'histoire de la vie privée, du retour et du règne de Napoléon en 1815.  [electronic resource] /  Pierre Alexandre Édouard, baron Fleury de Chaboulon"," Project Gutenberg,  2008", Public domain in the USA., Text," Napoleon I, Emperor of the French, 1769-1821 -- Elba and the Hundred Days, 1814-1815",,,,, Project Gutenberg  25616, http://www.gutenberg.org/ebooks/25616
00683nas a2200229uu 4500," Stevenson, Robert Louis,  1850-1894", A Child's Garden of Verses  [electronic resource] /  Robert Louis Stevenson," Project Gutenberg,  2008", Public domain in the USA., Text," Children's poetry, English",,,,, Project Gutenberg  25617, http://www.gutenberg.org/ebooks/25617
00867nas a2200229uu 4500," Romer, Cecil Francis,  1869-", The Second Battalion Royal Dublin Fusiliers in the South African War :   With a Description of the Operations in the Aden Hinterland  [electronic resource] /  Cecil Francis Romer," Project Gutenberg,  2008", Public domain in the USA., Text, Great Britain. Army. Royal Dublin Fusiliers. 2nd Battalion," South African War, 1899-1902 -- Regimental histories",,,, Project Gutenberg  25618, http://www.gutenberg.org/ebooks/25618
00837nas a2200253uu 4500," Davies, Charles Maurice,  1828-1910"," Mystic London; or, Phases of occult life in the metropolis  [electronic resource] /  Charles Maurice Davies"," Project Gutenberg,  2008", Public domain in the USA., Text, London (England) -- Description and travel, London (England) -- Social life and customs -- 19th century, Occultism,,, Project Gutenberg  25619, http://www.gutenberg.org/ebooks/25619
00741nas a2200241uu 4500," Optic, Oliver,  1822-1897"," Asiatic Breezes; Or, Students on The Wing  [electronic resource] /  Oliver Optic"," Project Gutenberg,  2008", Public domain in the USA., Text, Arab countries -- Fiction, Adventure and adventurers -- Juvenile fiction,,,, Project Gutenberg  25620, http://www.gutenberg.org/ebooks/25620
00772nas a2200253uu 4500," Hoatson, A.", Merry Words for Merry Children  [electronic resource] /  A. Hoatson," Project Gutenberg,  2008", Public domain in the USA., Text," Children's poetry, English", Bicycle racing -- Juvenile poetry, Cruelty -- Juvenile poetry, Animals -- Juvenile poetry,, Project Gutenberg  25621, http://www.gutenberg.org/ebooks/25621
00991nas a2200289uu 4500," Cartwright, Julia,  1851-1924"," Beatrice d'Este, Duchess of Milan, 1475-1497  [electronic resource] /  Julia Cartwright"," Project Gutenberg,  2008", Public domain in the USA., Text, Italy -- History -- 1268-1492, Nobility -- Italy -- Milan -- Biography," Beatrice, consort of Lodovico Sforza il Moro, Duke of Milan, 1475-1497", Women -- Biography, Renaissance -- Italy -- Milan, Project Gutenberg  25622, http://www.gutenberg.org/ebooks/25622
00701nas a2200229uu 4500," Chambers, Robert W.  (Robert William),  1865-1933", Barbarians  [electronic resource] /  Robert W. Chambers," Project Gutenberg,  2008", Public domain in the USA., Text, France -- Fiction," World War, 1914-1918 -- Fiction",,,, Project Gutenberg  25623, http://www.gutenberg.org/ebooks/25623
00787nas a2200253uu 4500," Lucy, Henry W.,  Sir  (Henry William),  1845-1924"," Faces and Places  [electronic resource] /  Henry W., Lucy"," Project Gutenberg,  2008", Public domain in the USA., Text, England -- Description and travel, France -- Description and travel, Essays, English wit and humor,, Project Gutenberg  25624, http://www.gutenberg.org/ebooks/25624
00701nas a2200229uu 4500," Morris, Charles,  1833-1922"," Historic Tales :  The Romance of Reality. Vol. 08 (of 15), Russian  [electronic resource] /  Charles Morris"," Project Gutenberg,  2008", Public domain in the USA., Text, Russia -- History,,,,, Project Gutenberg  25625, http://www.gutenberg.org/ebooks/25625
00725nas a2200229uu 4500," Garis, Lilian,  1873-1954"," The Girl Scouts at Bellaire; Or, Maid Mary's Awakening  [electronic resource] /  Lilian Garis"," Project Gutenberg,  2008", Public domain in the USA., Text, Girl Scouts -- Juvenile fiction, Vacations -- Juvenile fiction,,,, Project Gutenberg  25626, http://www.gutenberg.org/ebooks/25626
00682nas a2200229uu 4500," Silverberg, Robert,  1935-", The Hunted Heroes  [electronic resource] /  Robert Silverberg," Project Gutenberg,  2008", Public domain in the USA., Text," Short stories, American"," Science fiction, American",,,, Project Gutenberg  25627, http://www.gutenberg.org/ebooks/25627
00675nas a2200229uu 4500," Godwin, Tom,  1915-1980", The Nothing Equation  [electronic resource] /  Tom Godwin," Project Gutenberg,  2008", Public domain in the USA., Text," Science fiction, American"," Short stories, American",,,, Project Gutenberg  25628, http://www.gutenberg.org/ebooks/25628
00682nas a2200229uu 4500," Silverberg, Robert,  1935-", Postmark Ganymede  [electronic resource] /  Robert Silverberg," Project Gutenberg,  2008", Public domain in the USA., Text," Science fiction, American"," Short stories, American",,,, Project Gutenberg  25629, http://www.gutenberg.org/ebooks/25629
01042nas a2200301uu 4500," Raymond, Evelyn,  1843-1910", Dorothy's Travels  [electronic resource] /  Evelyn Raymond," Project Gutenberg,  2008", Public domain in the USA., Text, Boats and boating -- Juvenile fiction," Chester, Dorothy (Fictitious character) -- Juvenile fiction", Ocean travel -- Juvenile fiction, Travel -- Juvenile fiction, Musicians -- Juvenile fiction, Project Gutenberg  25630, http://www.gutenberg.org/ebooks/25630
00642nas a2200229uu 4500," Moss, Maria J.", A Poetical Cook-Book  [electronic resource] /  Maria J. Moss," Project Gutenberg,  2008", Public domain in the USA., Text," Cooking, American", Poetry,,,, Project Gutenberg  25631, http://www.gutenberg.org/ebooks/25631
00719nas a2200217uu 4500," Waters, Clara Erskine Clement,  1834-1916"," A History of Art for Beginners and Students :  Painting, Sculpture, Architecture  [electronic resource] /  Clara Erskine Clement Waters"," Project Gutenberg,  2008", Public domain in the USA., Text, Art -- History,,,,, Project Gutenberg  25632, http://www.gutenberg.org/ebooks/25632
00670nas a2200217uu 4500,," Blackwood's Edinburgh Magazine - Volume 62, No. 384, October 1847  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Scotland -- Periodicals, England -- Periodicals,,,, Project Gutenberg  25633, http://www.gutenberg.org/ebooks/25633
00732nas a2200241uu 4500," Mack, Robert Ellice", Christmas Roses  [electronic resource] /  Robert Ellice Mack," Project Gutenberg,  2008", Public domain in the USA., Text, Children's poetry, Children -- Conduct of life -- Juvenile poetry, Picture books for children,,, Project Gutenberg  25634, http://www.gutenberg.org/ebooks/25634
